Month,VOE adjusted close,Return,Risk adjusted return,,Mkt-RF,SmB,HmL,RF
2006-sep,48.9, 1.2842, 0.8742,,1.53,-1.19,-0.45,0.41
2006-oct,51.06, 4.4172, 4.0072,,3.3,1.68,0.48,0.41
2006-nov,53.07, 3.9365, 3.5165,,1.95,0.7,0.46,0.42
2006-dec,53.38, 0.5841, 0.1841,,0.68,-0.9,2.55,0.4
2007-jan,55.24, 3.4845, 3.0445,,1.5,0.04,-0.09,0.44
2007-feb,55.28, 0.0724,-0.3076,,-1.78,1.39,0.31,0.38
2007-mar,55.57, 0.5246, 0.0946,,0.87,-0.19,0.32,0.43
2007-apr,57.39, 3.2751, 2.8351,,3.55,-2.11,-0.96,0.44
2007-may,59.35, 3.4152, 3.0052,,3.48,-0.07,-0.08,0.41
2007-jun,57.59,-2.9655,-3.3655,,-1.87,0.65,-1.05,0.4
2007-jul,53.89,-6.4247,-6.8247,,-3.57,-2.71,-2.97,0.4
2007-aug,53.93, 0.0742,-0.3458,,0.75,-0.13,-2.35,0.42
2007-sep,54.97, 1.9284, 1.6084,,3.77,-2.47,-2.09,0.32
2007-oct,55.18, 0.3820, 0.0620,,2.26,0.08,-1.98,0.32
2007-nov,51.96,-5.8354,-6.1754,,-5.27,-2.74,-0.99,0.34
2007-dec,51.07,-1.7129,-1.9829,,-0.7,0.06,-0.07,0.27
2008-jan,49.19,-3.6812,-3.8912,,-6.44,-0.76,3.05,0.21
2008-feb,47.31,-3.8219,-3.9519,,-2.33,-0.54,0.0,0.13
2008-mar,46.93,-0.8032,-0.9732,,-1.21,0.85,0.19,0.17
2008-apr,49.4, 5.2632, 5.0932,,4.94,-1.53,0.07,0.17
2008-may,51.22, 3.6842, 3.5142,,2.22,2.87,-0.31,0.17
2008-jun,46.19,-9.8204,-9.9904,,-8.03,1.08,-1.05,0.17
2008-jul,45.47,-1.5588,-1.7088,,-1.47,3.71,3.61,0.15
2008-aug,46.93, 3.2109, 3.0909,,0.99,3.76,1.46,0.12
2008-sep,42.63,-9.1626,-9.3126,,-9.96,-0.24,4.48,0.15
2008-oct,33.18,-22.1675,-22.2475,,-18.54,-2.12,-3.13,0.08
2008-nov,30.62,-7.7155,-7.7355,,-8.55,-3.62,-4.93,0.02
2008-dec,31.49, 2.8413, 2.7513,,2.06,4.04,-1.28,0.09
2009-jan,28.61,-9.1458,-9.1458,,-7.75,-0.91,-9.93,0.0
2009-feb,25.16,-12.0587,-12.0687,,-10.12,-0.41,-6.73,0.01
2009-mar,27.27, 8.3863, 8.3763,,8.76,0.74,2.55,0.01
2009-apr,31.78,16.5383,16.5283,,11.04,5.14,5.74,0.01
2009-may,33.1, 4.1536, 4.1536,,6.73,-2.61,0.44,0.0
2009-jun,32.82,-0.8459,-0.8459,,-0.28,2.64,-2.48,0.0
2009-jul,36.35,10.7556,10.7456,,8.24,2.48,4.83,0.01
2009-aug,38.76, 6.6300, 6.6200,,3.18,-0.58,7.62,0.01
2009-sep,41.06, 5.9340, 5.9340,,4.52,2.36,1.5,0.0
2009-oct,39.09,-4.7979,-4.7979,,-2.84,-4.28,-4.38,0.0
2009-nov,41.31, 5.6792, 5.6792,,5.74,-2.83,0.12,0.0
2009-dec,43.54, 5.3982, 5.3982,,2.92,5.88,0.74,0.0
2010-jan,42.54,-2.2967,-2.2967,,-3.71,0.43,0.57,0.0
2010-feb,44.57, 4.7720, 4.7720,,3.54,1.41,2.75,0.0
2010-mar,47.69, 7.0002, 7.0002,,6.44,1.59,2.02,0.0
2010-apr,49.56, 3.9212, 3.9212,,2.02,5.0,3.14,0.0
2010-may,45.87,-7.4455,-7.4555,,-8.0,-0.03,-2.36,0.01
2010-jun,43.0,-6.2568,-6.2668,,-5.21,-2.05,-4.28,0.01
2010-jul,45.89, 6.7209, 6.7109,,7.24,-0.08,0.13,0.01
2010-aug,43.54,-5.1209,-5.1309,,-4.4,-2.92,-1.71,0.01
2010-sep,47.55, 9.2099, 9.1999,,9.24,3.97,-3.14,0.01
2010-oct,49.19, 3.4490, 3.4390,,3.89,0.91,-2.14,0.01
2010-nov,49.37, 0.3659, 0.3559,,0.58,3.71,-0.64,0.01
