Month,DFVEX adjusted close,Return,Risk adjusted return,,Mkt-RF,SmB,HmL,RF
2006-feb,10.0,-0.0999,-0.4399,,-0.5,-0.37,-0.84,0.34
2006-mar,10.35, 3.5000, 3.1300,,1.54,3.52,-0.02,0.37
2006-apr,10.46, 1.0628, 0.7028,,0.94,-1.21,3.06,0.36
2006-may,10.04,-4.0153,-4.4453,,-3.53,-2.99,2.72,0.43
2006-jun,10.02,-0.1992,-0.5992,,-0.44,-0.47,1.48,0.4
2006-jul,9.82,-1.9960,-2.3960,,-0.59,-3.91,3.28,0.4
2006-aug,10.04, 2.2403, 1.8203,,2.09,0.79,-1.72,0.42
2006-sep,10.21, 1.6932, 1.2832,,1.53,-1.19,-0.45,0.41
2006-oct,10.66, 4.4074, 3.9974,,3.3,1.68,0.48,0.41
2006-nov,10.97, 2.9081, 2.4881,,1.95,0.7,0.46,0.42
2006-dec,11.09, 1.0939, 0.6939,,0.68,-0.9,2.55,0.4
2007-jan,11.31, 1.9838, 1.5438,,1.5,0.04,-0.09,0.44
2007-feb,11.23,-0.7073,-1.0873,,-1.78,1.39,0.31,0.38
2007-mar,11.34, 0.9795, 0.5495,,0.87,-0.19,0.32,0.43
2007-apr,11.67, 2.9101, 2.4701,,3.55,-2.11,-0.96,0.44
2007-may,12.15, 4.1131, 3.7031,,3.48,-0.07,-0.08,0.41
2007-jun,11.97,-1.4815,-1.8815,,-1.87,0.65,-1.05,0.4
2007-jul,11.29,-5.6809,-6.0809,,-3.57,-2.71,-2.97,0.4
2007-aug,11.35, 0.5314, 0.1114,,0.75,-0.13,-2.35,0.42
2007-sep,11.55, 1.7621, 1.4421,,3.77,-2.47,-2.09,0.32
2007-oct,11.63, 0.6926, 0.3726,,2.26,0.08,-1.98,0.32
2007-nov,10.87,-6.5348,-6.8748,,-5.27,-2.74,-0.99,0.34
2007-dec,10.75,-1.1040,-1.3740,,-0.7,0.06,-0.07,0.27
2008-jan,10.24,-4.7442,-4.9542,,-6.44,-0.76,3.05,0.21
2008-feb,9.9,-3.3203,-3.4503,,-2.33,-0.54,0.0,0.13
2008-mar,9.85,-0.5051,-0.6751,,-1.21,0.85,0.19,0.17
2008-apr,10.3, 4.5685, 4.3985,,4.94,-1.53,0.07,0.17
2008-may,10.64, 3.3010, 3.1310,,2.22,2.87,-0.31,0.17
2008-jun,9.63,-9.4925,-9.6625,,-8.03,1.08,-1.05,0.17
2008-jul,9.7, 0.7269, 0.5769,,-1.47,3.71,3.61,0.15
2008-aug,9.98, 2.8866, 2.7666,,0.99,3.76,1.46,0.12
2008-sep,9.14,-8.4168,-8.5668,,-9.96,-0.24,4.48,0.15
2008-oct,7.25,-20.6783,-20.7583,,-18.54,-2.12,-3.13,0.08
2008-nov,6.46,-10.8966,-10.9166,,-8.55,-3.62,-4.93,0.02
2008-dec,6.75, 4.4892, 4.3992,,2.06,4.04,-1.28,0.09
2009-jan,5.93,-12.1481,-12.1481,,-7.75,-0.91,-9.93,0.0
2009-feb,5.19,-12.4789,-12.4889,,-10.12,-0.41,-6.73,0.01
2009-mar,5.71,10.0193,10.0093,,8.76,0.74,2.55,0.01
2009-apr,6.64,16.2872,16.2772,,11.04,5.14,5.74,0.01
2009-may,6.92, 4.2169, 4.2169,,6.73,-2.61,0.44,0.0
2009-jun,6.92, 0.0000, 0.0000,,-0.28,2.64,-2.48,0.0
2009-jul,7.63,10.2601,10.2501,,8.24,2.48,4.83,0.01
2009-aug,7.99, 4.7182, 4.7082,,3.18,-0.58,7.62,0.01
2009-sep,8.41, 5.2566, 5.2566,,4.52,2.36,1.5,0.0
2009-oct,7.94,-5.5886,-5.5886,,-2.84,-4.28,-4.38,0.0
2009-nov,8.24, 3.7783, 3.7783,,5.74,-2.83,0.12,0.0
2009-dec,8.73, 5.9466, 5.9466,,2.92,5.88,0.74,0.0
2010-jan,8.48,-2.8637,-2.8637,,-3.71,0.43,0.57,0.0
2010-feb,8.9, 4.9528, 4.9528,,3.54,1.41,2.75,0.0
2010-mar,9.57, 7.5281, 7.5281,,6.44,1.59,2.02,0.0
2010-apr,10.05, 5.0157, 5.0157,,2.02,5.0,3.14,0.0
2010-may,9.25,-7.9602,-7.9702,,-8.0,-0.03,-2.36,0.01
2010-jun,8.53,-7.7838,-7.7938,,-5.21,-2.05,-4.28,0.01
2010-jul,9.16, 7.3857, 7.3757,,7.24,-0.08,0.13,0.01
2010-aug,8.53,-6.8777,-6.8877,,-4.4,-2.92,-1.71,0.01
2010-sep,9.47,11.0199,11.0099,,9.24,3.97,-3.14,0.01
2010-oct,9.82, 3.6959, 3.6859,,3.89,0.91,-2.14,0.01
2010-nov,10.06, 2.4440, 2.4340,,0.58,3.71,-0.64,0.01
