Date,US MID CAP VALUE
1992-05-29,278.5872426
1992-06-30,276.6496419
1992-07-31,286.6878882
1992-08-31,279.8928478
1992-09-30,282.7142008
1992-10-30,287.9024434
1992-11-30,299.8862875
1992-12-31,312.0541239
1993-01-29,320.8199767
1993-02-26,327.4126429
1993-03-31,338.9864643
1993-04-30,334.1785475
1993-05-31,339.1212152
1993-06-30,348.1211809
1993-07-30,352.8067985
1993-08-31,364.3317567
1993-09-30,364.1764642
1993-10-29,360.0463119
1993-11-30,351.5810815
1993-12-31,361.3215956
1994-01-31,372.1884678
1994-02-28,365.1816458
1994-03-31,351.5759563
1994-04-29,356.8382417
1994-05-31,356.8627091
1994-06-30,348.7850609
1994-07-29,363.3990021
1994-08-31,376.7709099
1994-09-30,364.5147301
1994-10-31,361.9932192
1994-11-30,347.1130516
1994-12-30,350.1741271
1995-01-31,359.4795741
1995-02-28,377.1030831
1995-03-31,383.8481018
1995-04-28,392.1503597
1995-05-31,405.2284802
1995-06-30,415.5561568
1995-07-31,430.0718142
1995-08-31,438.6278234
1995-09-29,448.0226013
1995-10-31,442.0647718
1995-11-30,466.4703408
1995-12-29,471.3190956
1996-01-31,483.32443
1996-02-29,487.4511996
1996-03-29,499.5336695
1996-04-30,503.6131488
1996-05-31,508.4766101
1996-06-28,509.0866176
1996-07-31,486.3401743
1996-08-30,507.2271514
1996-09-30,526.3968174
1996-10-31,539.1118052
1996-11-29,572.3149768
1996-12-31,572.4540733
1997-01-31,586.1938118
1997-02-28,597.6948564
1997-03-31,579.7350496
1997-04-30,595.7977436
1997-05-30,632.1233634
1997-06-30,659.1091505
1997-07-31,710.4592652
1997-08-29,704.3954533
1997-09-30,742.5566725
1997-10-31,719.4397005
1997-11-28,744.8482226
1997-12-31,784.7449121
1998-01-30,766.3276426
1998-02-27,815.182658
1998-03-31,854.0103191
1998-04-30,847.8868323
1998-05-29,828.7815408
1998-06-30,825.3533336
1998-07-31,789.6166736
1998-08-31,670.5127429
1998-09-30,708.0439549
1998-10-30,757.2957024
1998-11-30,786.0682091
1998-12-31,796.6418953
1999-01-29,768.5660882
1999-02-26,750.6954364
1999-03-31,768.148572
1999-04-30,853.0243503
1999-05-31,854.030107
1999-06-30,867.7650665
1999-07-30,842.0310801
1999-08-31,809.5897893
1999-09-30,770.9251334
1999-10-29,800.3760544
1999-11-30,790.8017434
1999-12-31,814.1603737
2000-01-31,765.8626717
2000-02-29,723.3123695
2000-03-31,809.3253841
2000-04-28,810.6044966
2000-05-31,825.7497447
2000-06-30,796.8660738
2000-07-31,829.3227831
2000-08-31,884.8957749
2000-09-29,894.4828161
2000-10-31,914.1589641
2000-11-30,912.4644533
2000-12-29,997.1149074
2001-01-31,1004.708707
2001-02-28,997.4124664
2001-03-30,987.9673178
2001-04-30,1039.339566
2001-05-31,1082.63694
2001-06-29,1079.911258
2001-07-31,1081.533514
2001-08-31,1065.150358
2001-09-28,966.3182448
2001-10-31,970.3065422
2001-11-30,1036.219269
2001-12-31,1084.740059
2002-01-31,1096.008271
2002-02-28,1120.909432
2002-03-29,1185.01089
2002-04-30,1189.499081
2002-05-31,1185.726543
2002-06-28,1124.125255
2002-07-31,1024.3412
2002-08-30,1030.021295
2002-09-30,923.4022707
2002-10-31,944.5061289
2002-11-29,1000
2002-12-31,979.5793167
2003-01-31,951.0580071
2003-02-28,930.4661124
2003-03-31,935.2023516
2003-04-30,1004.142634
2003-05-30,1093.732552
2003-06-30,1101.779112
2003-07-31,1137.018786
2003-08-29,1181.30809
2003-09-30,1178.830709
2003-10-31,1261.625042
2003-11-28,1293.524047
2003-12-31,1350.978963
2004-01-30,1378.801716
2004-02-27,1418.461398
2004-03-31,1431.106562
2004-04-30,1378.480696
2004-05-31,1420.17148
2004-06-30,1468.698968
2004-07-30,1438.759493
2004-08-31,1461.330867
2004-09-30,1508.02093
2004-10-29,1547.508522
2004-11-30,1656.241841
2004-12-31,1718.025679
2005-01-31,1668.269514
2005-02-28,1741.271861
2005-03-31,1729.401339
2005-04-29,1681.415711
2005-05-31,1751.807228
2005-06-30,1804.886158
2005-07-29,1903.146111
2005-08-31,1886.404161
2005-09-30,1903.71242
2005-10-31,1826.304791
2005-11-30,1915.626593
2005-12-30,1938.730501
2006-01-31,2026.254045
2006-02-28,2019.083479
2006-03-31,2064.016482
2006-04-28,2079.624521
2006-05-31,2030.55751
2006-06-30,2033.637195
2006-07-31,2018.483267
2006-08-31,2063.676586
2006-09-29,2094.117481
2006-10-31,2183.318082
2006-11-30,2270.148629
2006-12-29,2284.165428
2007-01-31,2362.584826
2007-02-28,2365.955902
2007-03-30,2380.658192
2007-04-30,2454.896875
2007-05-31,2540.667966
2007-06-29,2462.740159
2007-07-31,2309.059472
2007-08-31,2307.803374
2007-09-28,2351.85319
2007-10-31,2360.162007
2007-11-30,2225.230635
2007-12-07,2272.500003
