Date,US SMALL CAP VALUE
1992-05-29,288.5758417
1992-06-30,282.8622514
1992-07-31,294.8406013
1992-08-31,288.2439599
1992-09-30,293.0900337
1992-10-30,298.5262164
1992-11-30,313.8251075
1992-12-31,328.6910003
1993-01-29,343.3336381
1993-02-26,347.4761725
1993-03-31,359.5230094
1993-04-30,349.3814325
1993-05-31,356.5012094
1993-06-30,359.8874305
1993-07-30,366.3863188
1993-08-31,379.4061042
1993-09-30,386.3148136
1993-10-29,391.1649444
1993-11-30,381.5528473
1993-12-31,394.7974159
1994-01-31,405.9194762
1994-02-28,404.7863398
1994-03-31,386.776385
1994-04-29,390.0308255
1994-05-31,390.4482757
1994-06-30,385.4291974
1994-07-29,393.8319506
1994-08-31,409.0059909
1994-09-30,403.7330488
1994-10-31,396.9191503
1994-11-30,380.6353655
1994-12-30,392.1908272
1995-01-31,391.1766861
1995-02-28,406.8562669
1995-03-31,409.9337513
1995-04-28,419.7019105
1995-05-31,429.0845821
1995-06-30,443.2465516
1995-07-31,460.7438223
1995-08-31,472.0684043
1995-09-29,480.581044
1995-10-31,464.3281633
1995-11-30,483.7680182
1995-12-29,496.2791637
1996-01-31,498.4591167
1996-02-29,507.3462731
1996-03-29,517.4115028
1996-04-30,529.3242604
1996-05-31,541.190535
1996-06-28,539.3355417
1996-07-31,514.247275
1996-08-30,538.5325595
1996-09-30,554.7331361
1996-10-31,563.6760647
1996-11-29,595.9549198
1996-12-31,613.0182456
1997-01-31,625.9475873
1997-02-28,633.9605187
1997-03-31,615.8783799
1997-04-30,623.470249
1997-05-30,670.8754689
1997-06-30,703.9205
1997-07-31,743.3935922
1997-08-29,749.3490096
1997-09-30,799.2019681
1997-10-31,782.855529
1997-11-28,798.0219591
1997-12-31,825.9050249
1998-01-30,810.1530006
1998-02-27,859.7172988
1998-03-31,897.1180051
1998-04-30,898.79394
1998-05-29,869.5579128
1998-06-30,858.9769811
1998-07-31,799.1434403
1998-08-31,674.7634538
1998-09-30,711.1216698
1998-10-30,737.015385
1998-11-30,761.0345365
1998-12-31,783.6491187
1999-01-29,757.872431
1999-02-26,718.1986718
1999-03-31,713.2413645
1999-04-30,780.9555107
1999-05-31,802.4083709
1999-06-30,826.9107209
1999-07-30,810.474624
1999-08-31,779.1417934
1999-09-30,759.3570041
1999-10-29,754.2029262
1999-11-30,751.511145
1999-12-31,766.6738981
2000-01-31,731.2991237
2000-02-29,720.3711273
2000-03-31,782.8688074
2000-04-28,787.9597278
2000-05-31,789.8112101
2000-06-30,792.3212409
2000-07-31,814.398199
2000-08-31,857.4878428
2000-09-29,855.6927655
2000-10-31,852.9161132
2000-11-30,840.1207663
2000-12-29,929.3466266
2001-01-31,955.9369568
2001-02-28,945.532184
2001-03-30,922.7556686
2001-04-30,971.2920242
2001-05-31,996.2287249
2001-06-29,1025.424762
2001-07-31,1017.056332
2001-08-31,1011.022063
2001-09-28,906.1249868
2001-10-31,929.7644246
2001-11-30,991.1866195
2001-12-31,1049.716225
2002-01-31,1054.802574
2002-02-28,1073.865655
2002-03-29,1154.300116
2002-04-30,1186.367366
2002-05-31,1157.787242
2002-06-28,1126.528547
2002-07-31,999.5995487
2002-08-30,1010.936402
2002-09-30,938.8896863
2002-10-31,944.4619399
2002-11-29,1000
2002-12-31,980.1271367
2003-01-31,950.0687756
2003-02-28,922.211747
2003-03-31,927.796743
2003-04-30,1021.039571
2003-05-30,1113.407154
2003-06-30,1132.982457
2003-07-31,1183.978526
2003-08-29,1224.140475
2003-09-30,1217.821025
2003-10-31,1303.986783
2003-11-28,1355.162255
2003-12-31,1414.66997
2004-01-30,1453.408615
2004-02-27,1490.237619
2004-03-31,1516.714483
2004-04-30,1433.707225
2004-05-31,1457.431058
2004-06-30,1531.179745
2004-07-30,1476.826525
2004-08-31,1498.226712
2004-09-30,1548.123423
2004-10-29,1572.617685
2004-11-30,1699.729634
2004-12-31,1750.21292
2005-01-31,1685.692779
2005-02-28,1724.88635
2005-03-31,1693.379479
2005-04-29,1628.550399
2005-05-31,1715.581352
2005-06-30,1782.28047
2005-07-29,1884.070185
2005-08-31,1844.8533
2005-09-30,1854.545991
2005-10-31,1799.858995
2005-11-30,1868.215189
2005-12-30,1860.148067
2006-01-31,1992.395745
2006-02-28,1995.259733
2006-03-31,2066.414671
2006-04-28,2067.578498
2006-05-31,1988.524865
2006-06-30,2011.30124
2006-07-31,1982.010266
2006-08-31,2027.988492
2006-09-29,2046.310175
2006-10-31,2144.358258
2006-11-30,2209.975881
2006-12-29,2221.820888
2007-01-31,2266.643231
2007-02-28,2253.418358
2007-03-30,2267.491366
2007-04-30,2309.227352
2007-05-31,2393.274978
2007-06-29,2333.104612
2007-07-31,2165.349049
2007-08-31,2196.880828
2007-09-28,2217.040454
2007-10-31,2247.483389
2007-11-30,2096.705453
